,premise,hypothesis,label
458,"I'm not sentimental, you know."" She paused.",She claimed not to be sentimental. ,1
459,Abortive countrywide revolts,The unrest could be stopped quickly.,2
460,yeah exactly right it really is because they're gonna get them one way or another they will always have a way look at drugs they always have a way to get that so,"They will never get drugs, because the government passed a bill that prohobits all of them.",0
461,ooh it's kind of tough to think of some of the others although i do watch some of some of those frivolous things uh like on Thursday nights at nine o'clock when i get home from aerobics i will watch uh Knots Landing,I've never been to an aerobics class before.,0
462,right yeah that's it's always handy to have that that credit card for whatever it is that you might need it for,It is not necessary to have a credit card.,0
463,"To address these concerns, we supplement our Base Estimate of benefits with a series of sensitivity calculations that make use of other sources of concentration-response and valuation data for key benefits categories.",Some scenarios allow for supplemental data to be used in lieu of primary data.,1
464,"If you need to use the mail, it would be helpful if you sent your comments both in writing and on diskette (in Word or ASCII format).","We don't need more than one copy of your comments, either a diskette or writing will do.",0
465,"Tax purists would argue that the value of the homemakers' hard work--and the intrafamily benefits they presumably receive in return for it--should, in fact, be treated as income and taxed, just like the wages paid to outside service providers such as baby sitters and housekeepers.","To tax purists, the value of the homemakers' hard work should be taxed, and my economy teacher agrees with that.",2
466,Were you in company with anyone?,Were you awake?,0
467,that's right you can work yourself to death well i'm sorry to hear your color didn't come out so good over the weekend,Don't work yourself to death. ,2
468,"The burden of his spiritual functions as high priest of Shinto and the tasks of administration led the emperor to welcome an early abdication, frequently to retire to a life of Buddhist meditation and scholarship.",People looked down on the emperor for abandoning his duties and abdicating.,2
469,11 These departures permit them take advantage of the lower cost of living as well as to be reunited with their spouses and children.,The departures help them take advantage of the low cost of living in the south.,2
470,"If you still want to join, it might be worked.",You can try to do it if you'd like to join.,1
471,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",The Sun makes millions every year off fake news.,2
472,A student visa overstayer is not going to be a high priority for pro bono assistance.,A student visa overstayer will be high priority.,0
473,Additional information is provided to help managers incorporate the standards into their daily operations.,This information was developed thanks to extra federal funding.,2
474,She buried his remains to spare her mother the gruesome sight.,She quickly ate his remains to steal all the nutrients for herself.,0
475,They said that (1) agencies need to be able to design their procedures to fit their particular circumstances (e.g.,The authors of the recently introduced bill stated each agency would be required to match their operational methods to their particular situations.,2
476,There are two challengers to these top dogs.,These top dogs face two challenges.,1
477,"This is one of the reasons we're growing too weak to fight the Satheri.  ""What's wrong with a ceremony of worship, if you must worship your eggshell?"" Dave asked.","""We shouldn't worship our eggshells, why do we even have ceremonies at all?"" asked Dave.",0
478,Where are you going?,I'm curious as to where you're going.,1
479,"Yes, you've done very well, young man.","No, you have not done very well.",0
480,There always will be a need for an attorney to do general law.,There will always be a very real need for lawyers and attorney's to practice law.,2
481,How do you propose to get in touch with your would-be employers?,How will you destroy your potential employers' gardens?,0
482,What seems to be a special bargain price for just  one week only  could turn out to be a year-round con.,Some weekly store sales turn out to be a year-round sale scams.,1
483,"The entire economy received a massive jump-start with the outbreak of the Korean War, with Japan ironically becoming the chief local supplier for an army it had battled so furiously just a few years earlier.",Japan became the local supplier for Korea.,1
484,You're the Desert Ghost.,You're a living desert camel.,0
485,"For this report, we provide an overview of the major theories about why people save and describe various factors associated with the decline in personal saving.",There are several major theories about why people save.,1
486,"Punditus Interruptus, The Final ",The Last Punditus Interruptus,1
487,NONFEDERAL PHYSICAL PROPERTY ANNUAL STEWARDSHIP INFORMATION For the Fiscal Year Ended September,The report details federal physical property,0
488,because i don't want to my mother was also a domineering type of personality because she had to take over the things that my dad fell short in,My mother was domineering since she filled in my father's shoes.,1
489,"Favored by the Ancient Egyptians as a source of turquoise, the Sinai was, until recently, famed for only one event but certainly an important one.",The Ancient Egyptians found nothing of use in the Sinai.  ,0
490,uh-huh well maybe well i've enjoyed talking to you okay bye-bye,I liked talking to you about sports.,2
491,You name it L.A.'s got it.,L.A. doesn't offer much of anything.,0
492,This points to a final press-friendly quality of McCain' brilliant flattery.,This does not lead to a final press-friendly quality of McCain' brilliant flattery.,0
493,Several of its beaches are officially designated for nudism (known locally as naturisme) the most popular being Pointe Tarare and a functionary who is a Chevalier de la L??gion d'Honneur has been appointed to supervise all aspects of sunning in the buff.,There are a number of nude beaches.,1
494,"On the left of the entrance ramp is the open space once occupied by the Temple of Athena, close to which are the remains of the Pergamene library.",There are no remains visible from the ramp.,0
495,"Managing better requires that agencies have, and rely upon, sound financial and program information.",Agencies need sound financial and program information for good management.,1
496,"But he said he thought the Ledfords understood they could qualify only if he put down a stated income, typically an undocumented business income that raises the borrower's interest rate. ",He thought he didn't need anything to qualify.,0
497,Another White House murder mystery and a chance to bash the genre.,White House murder mystery has other works before this one.,1
498,They would burn to the ground by morning.,"By morning, they would burn the village to the ground.",2
499,Participate in the postaward audit for assessing thedegree of success of the acquisition.,The award is given to different people every year.,2
